student_id,name,age,gender,stream,internships,history_of_backlogs,placed_or_not,created_at
1,Dr. James Roberts,23,female,Civil Engineering,0,0,False,2023-10-08 01:23:36
2,Jennifer Bradley,19,male,Civil Engineering,1,5,False,2024-09-09 09:24:27
3,Charles Mckee DDS,20,female,Mechanical Engineering,2,4,False,2024-03-30 18:27:03
4,Maria Fitzpatrick,20,male,Chemical Engineering,3,4,False,2024-08-09 01:40:39
5,Linda Howard,24,other,Electrical Engineering,3,2,False,2024-03-03 18:33:44
6,Katherine Tate,23,other,Computer Science,1,0,False,2023-11-28 19:32:01
7,Rebecca Vargas,18,male,Civil Engineering,1,5,True,2023-10-18 14:28:22
8,Jamie Martinez,20,female,Civil Engineering,2,1,False,2024-04-02 02:39:55
9,Rhonda Spears MD,23,male,Mechanical Engineering,2,1,True,2024-07-29 18:06:26
10,Miguel Alvarado,18,other,Computer Science,0,2,True,2023-11-18 12:43:16
11,Antonio Riley,25,male,Mechanical Engineering,1,3,False,2023-12-17 07:55:39
12,Kimberly Pierce,18,other,Computer Science,0,0,False,2023-12-07 10:33:42
13,Jose Cox,22,other,Electrical Engineering,3,4,True,2023-11-26 23:43:59
14,Linda Butler,21,male,Computer Science,1,4,True,2024-03-02 15:51:30
15,Timothy Martinez,22,female,Mechanical Engineering,1,3,True,2023-10-26 01:49:26
16,Carrie Reyes,20,male,Civil Engineering,1,1,True,2024-05-14 09:57:55
17,Jessica Brown,21,male,Electrical Engineering,2,4,False,2024-04-12 05:57:55
18,Mary Berry,23,female,Civil Engineering,0,0,False,2024-06-02 23:07:31
19,Dawn Bentley,23,male,Civil Engineering,3,4,True,2023-10-11 08:27:04
20,Zachary Tate,25,female,Computer Science,3,2,False,2023-11-20 18:51:32
21,Brian Patel,21,male,Civil Engineering,0,1,False,2024-07-12 06:17:44
22,Carlos Wong,21,female,Computer Science,0,2,True,2024-01-06 20:21:24
23,Chase Cline,23,other,Mechanical Engineering,1,2,False,2024-09-10 11:49:14
24,Lindsey Cox,22,other,Computer Science,0,3,False,2024-03-24 18:52:57
25,Jennifer Williams,24,other,Civil Engineering,1,3,True,2023-11-09 20:43:13
26,Cindy Mcmahon,20,female,Civil Engineering,0,1,False,2023-12-11 02:00:11
27,Joseph Marks,19,other,Mechanical Engineering,0,4,False,2024-03-17 21:34:14
28,Laura Wright,23,other,Mechanical Engineering,0,5,True,2023-10-30 14:49:44
29,Karina Ortiz,24,other,Chemical Engineering,2,0,False,2024-05-26 10:50:13
30,Michelle Barrera DDS,21,male,Chemical Engineering,2,2,True,2023-11-10 00:41:37
31,Justin Figueroa,24,female,Computer Science,1,4,True,2024-09-10 04:03:04
32,Suzanne Medina,21,female,Civil Engineering,2,4,True,2024-06-27 17:16:10
33,Angela Hunt,25,male,Mechanical Engineering,2,1,False,2024-07-11 21:59:57
34,Cole James,23,other,Computer Science,0,2,False,2023-12-13 18:27:28
35,James Nichols,23,female,Chemical Engineering,1,0,False,2024-06-10 03:15:27
36,Brianna Johnson,22,female,Computer Science,0,0,True,2024-02-13 16:23:09
37,Lauren Bond,25,other,Mechanical Engineering,1,5,False,2023-11-08 02:26:57
38,Gregory Young,25,male,Computer Science,2,4,False,2024-06-29 12:09:32
39,Paul Valdez,20,female,Civil Engineering,3,4,True,2023-12-14 16:54:01
40,Michael Williams,23,male,Chemical Engineering,1,2,True,2024-08-02 10:54:37
41,Michael Brown,21,other,Computer Science,0,2,False,2023-11-21 01:06:39
42,Pamela Lee,19,female,Electrical Engineering,0,5,False,2024-07-28 06:05:37
43,Adam Kennedy,19,female,Mechanical Engineering,2,1,False,2024-05-11 12:36:37
44,Samuel Collins,22,other,Chemical Engineering,1,2,False,2024-09-10 06:29:19
45,David Joseph,19,male,Electrical Engineering,1,1,False,2024-08-21 11:43:38
46,Mary Simpson MD,23,female,Electrical Engineering,2,5,True,2024-05-21 04:00:47
47,Patrick Johnson DDS,21,male,Mechanical Engineering,1,1,False,2024-08-10 23:16:55
48,Phillip Wilson,21,other,Computer Science,1,4,True,2024-01-10 11:29:06
49,Bryan Scott,19,male,Mechanical Engineering,3,1,True,2024-02-20 15:51:14
50,Steven Lynch,24,female,Mechanical Engineering,1,5,False,2023-12-03 04:27:05
51,Donna Vargas,24,female,Mechanical Engineering,2,2,False,2024-06-20 18:52:03
52,Kurt Foster,20,other,Mechanical Engineering,1,1,True,2024-05-11 18:00:56
53,Dawn Eaton,19,male,Chemical Engineering,2,5,False,2024-05-02 15:48:45
54,Daniel Jacobs,24,male,Mechanical Engineering,0,1,False,2023-12-27 00:53:23
55,Todd Holland,21,other,Chemical Engineering,1,4,False,2024-06-05 14:30:06
56,Jamie Smith,20,other,Electrical Engineering,1,4,False,2024-07-19 04:57:15
57,Donald Yates,18,female,Mechanical Engineering,3,1,True,2023-12-28 12:56:09
58,Lisa Johnson,24,other,Mechanical Engineering,1,3,True,2024-08-31 17:22:35
59,Luis Taylor,24,male,Civil Engineering,2,4,True,2023-11-28 23:25:20
60,Cody Walsh,23,male,Electrical Engineering,2,4,True,2024-07-05 18:17:02
61,Kenneth Mckinney,23,female,Mechanical Engineering,3,3,False,2024-09-24 14:49:16
62,Sandra Nicholson,21,other,Electrical Engineering,3,3,False,2024-04-01 10:13:51
63,Brady Ryan,18,male,Civil Engineering,3,3,True,2023-10-18 18:53:36
64,Tina Garcia,21,male,Computer Science,3,5,True,2024-05-02 09:19:55
65,Dr. Anthony Curtis,22,other,Civil Engineering,1,1,False,2023-11-14 11:22:28
66,Christie Silva,18,male,Civil Engineering,2,0,False,2024-04-10 17:12:19
